id,name,common_name,supercategory,kingdom,phylum,class,order,family,genus,specific_epithet,image_dir_name
22,Austracantha minax,Australian Jewel Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Austracantha,minax,00022_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Austracantha_minax
23,Cyclosa conica,Conical Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,conica,00023_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyclosa_conica
24,Cyclosa turbinata,Humped Trashline Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyclosa,turbinata,00024_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyclosa_turbinata
25,Cyrtophora citricola,Tropical Tent-web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Cyrtophora,citricola,00025_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Cyrtophora_citricola
26,Eriophora pustulosa,Garden Orbweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,pustulosa,00026_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Eriophora_pustulosa
27,Eriophora ravilla,Tropical Orbweaver Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Eriophora,ravilla,00027_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Eriophora_ravilla
28,Gasteracantha cancriformis,Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,cancriformis,00028_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Gasteracantha_cancriformis
29,Gasteracantha kuhli,Black-and-white Spiny Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Gasteracantha,kuhli,00029_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Gasteracantha_kuhli
30,Larinioides cornutus,Furrow Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Larinioides,cornutus,00030_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Larinioides_cornutus
31,Mangora acalypha,Cricket-bat Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,acalypha,00031_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mangora_acalypha
32,Mangora placida,Tuft-legged Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mangora,placida,00032_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mangora_placida
33,Mecynogea lemniscata,Basilica Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Mecynogea,lemniscata,00033_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Mecynogea_lemniscata
34,Micrathena gracilis,Spined Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,gracilis,00034_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_gracilis
35,Micrathena mitrata,White Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,mitrata,00035_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_mitrata
36,Micrathena sagittata,Arrow-shaped Micrathena,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Micrathena,sagittata,00036_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Micrathena_sagittata
37,Neoscona arabesca,Arabesque Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,arabesca,00037_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_arabesca
38,Neoscona crucifera,Hentz's Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,crucifera,00038_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_crucifera
39,Neoscona domiciliorum,Red-femured Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,domiciliorum,00039_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_domiciliorum
40,Neoscona oaxacensis,Western Spotted Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Neoscona,oaxacensis,00040_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Neoscona_oaxacensis
41,Nephila pilipes,Giant Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nephila,pilipes,00041_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Nephila_pilipes
42,Nuctenea umbratica,Walnut Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Nuctenea,umbratica,00042_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Nuctenea_umbratica
43,Thelacantha brevispina,Asian Spinybacked Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Thelacantha,brevispina,00043_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Thelacantha_brevispina
44,Trichonephila clavata,Jor?? Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavata,00044_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavata
45,Trichonephila clavipes,Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,clavipes,00045_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_clavipes
46,Trichonephila edulis,Edible Golden Silk Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,edulis,00046_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_edulis
47,Trichonephila fenestrata,Hairy Golden Orb-weaving Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,fenestrata,00047_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_fenestrata
48,Trichonephila plumipes,Tiger Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Trichonephila,plumipes,00048_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Trichonephila_plumipes
49,Verrucosa arenata,Arrowhead Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Verrucosa,arenata,00049_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Verrucosa_arenata
50,Zygiella x-notata,Silver-sided Sector Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Zygiella,x-notata,00050_Animalia_Arthropoda_Arachnida_Araneae_Araneidae_Zygiella_x-notata
51,Cheiracanthium mildei,Yellow Sac Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Cheiracanthiidae,Cheiracanthium,mildei,00051_Animalia_Arthropoda_Arachnida_Araneae_Cheiracanthiidae_Cheiracanthium_mildei
52,Nyssus coloripes,Spotted ground swift,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Corinnidae,Nyssus,coloripes,00052_Animalia_Arthropoda_Arachnida_Araneae_Corinnidae_Nyssus_coloripes
53,Badumna longinqua,Grey House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Desidae,Badumna,longinqua,00053_Animalia_Arthropoda_Arachnida_Araneae_Desidae_Badumna_longinqua
54,Dysdera crocata,Woodlouse Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Dysderidae,Dysdera,crocata,00054_Animalia_Arthropoda_Arachnida_Araneae_Dysderidae_Dysdera_crocata
55,Kukulcania hibernalis,Southern House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Filistatidae,Kukulcania,hibernalis,00055_Animalia_Arthropoda_Arachnida_Araneae_Filistatidae_Kukulcania_hibernalis
56,Herpyllus ecclesiasticus,Parson Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Gnaphosidae,Herpyllus,ecclesiasticus,00056_Animalia_Arthropoda_Arachnida_Araneae_Gnaphosidae_Herpyllus_ecclesiasticus
57,Frontinella pyramitela,Bowl and Doily Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Frontinella,pyramitela,00057_Animalia_Arthropoda_Arachnida_Araneae_Linyphiidae_Frontinella_pyramitela
58,Neriene radiata,Filmy Dome Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Neriene,radiata,00058_Animalia_Arthropoda_Arachnida_Araneae_Linyphiidae_Neriene_radiata
59,Hogna radiata,Radiated Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Hogna,radiata,00059_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Hogna_radiata
60,Rabidosa rabida,Rabid Wolf Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Lycosidae,Rabidosa,rabida,00060_Animalia_Arthropoda_Arachnida_Araneae_Lycosidae_Rabidosa_rabida
61,Oxyopes salticus,Striped Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,salticus,00061_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Oxyopes_salticus
62,Oxyopes scalaris,Western Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Oxyopes,scalaris,00062_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Oxyopes_scalaris
63,Peucetia viridans,Green Lynx Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Oxyopidae,Peucetia,viridans,00063_Animalia_Arthropoda_Arachnida_Araneae_Oxyopidae_Peucetia_viridans
64,Holocnemus pluchei,Marbled Cellar Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Holocnemus,pluchei,00064_Animalia_Arthropoda_Arachnida_Araneae_Pholcidae_Holocnemus_pluchei
65,Pholcus phalangioides,Skull Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pholcidae,Pholcus,phalangioides,00065_Animalia_Arthropoda_Arachnida_Araneae_Pholcidae_Pholcus_phalangioides
66,Dolomedes albineus,Whitebanded Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,albineus,00066_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_albineus
67,Dolomedes minor,Nurseryweb Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,minor,00067_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_minor
68,Dolomedes scriptus,Striped Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,scriptus,00068_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_scriptus
69,Dolomedes tenebrosus,Dark Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,tenebrosus,00069_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_tenebrosus
70,Dolomedes triton,Six-spotted Fishing Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Dolomedes,triton,00070_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Dolomedes_triton
71,Pisaura mirabilis,European Nursery Web spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaura,mirabilis,00071_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Pisaura_mirabilis
72,Pisaurina mira,American Nursery Web Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Pisauridae,Pisaurina,mira,00072_Animalia_Arthropoda_Arachnida_Araneae_Pisauridae_Pisaurina_mira
73,Anasaitis canosa,Twinflagged Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Anasaitis,canosa,00073_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Anasaitis_canosa
74,Attulus fasciger,Asiatic Wall Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Attulus,fasciger,00074_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Attulus_fasciger
75,Colonus hesperus,Colonus hesperus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,hesperus,00075_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Colonus_hesperus
76,Colonus sylvanus,Sylvan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Colonus,sylvanus,00076_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Colonus_sylvanus
77,Eris militaris,Bronze Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Eris,militaris,00077_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Eris_militaris
78,Hasarius adansoni,Adanson's House Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hasarius,adansoni,00078_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hasarius_adansoni
79,Helpis minitabunda,Bronze hopper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Helpis,minitabunda,00079_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Helpis_minitabunda
80,Hentzia mitrata,White-jawed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,mitrata,00080_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hentzia_mitrata
81,Hentzia palmarum,Common Hentz Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hentzia,palmarum,00081_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hentzia_palmarum
82,Hypoblemum griseum,White banded house jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Hypoblemum,griseum,00082_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Hypoblemum_griseum
83,Lyssomanes viridis,Magnolia Green Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Lyssomanes,viridis,00083_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Lyssomanes_viridis
84,Maevia inclemens,Dimorphic Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Maevia,inclemens,00084_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Maevia_inclemens
85,Marpissa muscosa,Fencepost jumping spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Marpissa,muscosa,00085_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Marpissa_muscosa
86,Menemerus bivittatus,Gray Wall Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,bivittatus,00086_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Menemerus_bivittatus
87,Menemerus semilimbatus,Menemerus semilimbatus,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Menemerus,semilimbatus,00087_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Menemerus_semilimbatus
88,Metacyrba taeniola,Ribbon Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Metacyrba,taeniola,00088_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Metacyrba_taeniola
89,Naphrys pulex,Flea Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Naphrys,pulex,00089_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Naphrys_pulex
90,Paraphidippus aurantius,Golden Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Paraphidippus,aurantius,00090_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Paraphidippus_aurantius
91,Pelegrina galathea,Peppered Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Pelegrina,galathea,00091_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Pelegrina_galathea
92,Phidippus audax,Bold Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,audax,00092_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_audax
93,Phidippus clarus,Brilliant Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,clarus,00093_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_clarus
94,Phidippus johnsoni,Johnson's Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Phidippus,johnsoni,00094_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Phidippus_johnsoni
95,Philaeus chrysops,Red-bellied Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Philaeus,chrysops,00095_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Philaeus_chrysops
96,Platycryptus undatus,Tan Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Platycryptus,undatus,00096_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Platycryptus_undatus
97,Plexippus paykulli,Pantropical Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Plexippus,paykulli,00097_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Plexippus_paykulli
98,Salticus scenicus,Zebra Jumper,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Salticus,scenicus,00098_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Salticus_scenicus
99,Sassacus vitis,Buttonhook Leaf-beetle Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Sassacus,vitis,00099_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Sassacus_vitis
100,Trite auricoma,Golden-brown Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trite,auricoma,00100_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Trite_auricoma
101,Trite planiceps,Black-headed Jumping Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Salticidae,Trite,planiceps,00101_Animalia_Arthropoda_Arachnida_Araneae_Salticidae_Trite_planiceps
102,Loxosceles reclusa,Brown Recluse,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sicariidae,Loxosceles,reclusa,00102_Animalia_Arthropoda_Arachnida_Araneae_Sicariidae_Loxosceles_reclusa
103,Heteropoda venatoria,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Heteropoda,venatoria,00103_Animalia_Arthropoda_Arachnida_Araneae_Sparassidae_Heteropoda_venatoria
104,Micrommata virescens,Green Huntsman Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Micrommata,virescens,00104_Animalia_Arthropoda_Arachnida_Araneae_Sparassidae_Micrommata_virescens
105,Olios giganteus,Giant Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Sparassidae,Olios,giganteus,00105_Animalia_Arthropoda_Arachnida_Araneae_Sparassidae_Olios_giganteus
106,Leucauge argyra,Leucauge argyra,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,argyra,00106_Animalia_Arthropoda_Arachnida_Araneae_Tetragnathidae_Leucauge_argyra
107,Leucauge argyrobapta,Mabel Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,argyrobapta,00107_Animalia_Arthropoda_Arachnida_Araneae_Tetragnathidae_Leucauge_argyrobapta
108,Leucauge venusta,Orchard Orbweaver,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Tetragnathidae,Leucauge,venusta,00108_Animalia_Arthropoda_Arachnida_Araneae_Tetragnathidae_Leucauge_venusta
109,Aphonopelma chalcodes,Desert Blonde Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,chalcodes,00109_Animalia_Arthropoda_Arachnida_Araneae_Theraphosidae_Aphonopelma_chalcodes
110,Aphonopelma eutylenum,California Ebony Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,eutylenum,00110_Animalia_Arthropoda_Arachnida_Araneae_Theraphosidae_Aphonopelma_eutylenum
111,Aphonopelma hentzi,Texas Brown Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,hentzi,00111_Animalia_Arthropoda_Arachnida_Araneae_Theraphosidae_Aphonopelma_hentzi
112,Aphonopelma iodius,Desert Tarantula,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theraphosidae,Aphonopelma,iodius,00112_Animalia_Arthropoda_Arachnida_Araneae_Theraphosidae_Aphonopelma_iodius
113,Enoplognatha ovata,Common candy-striped spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Enoplognatha,ovata,00113_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Enoplognatha_ovata
114,Latrodectus geometricus,Brown Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,geometricus,00114_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_geometricus
115,Latrodectus hasselti,Redback Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hasselti,00115_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_hasselti
116,Latrodectus hesperus,Western Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,hesperus,00116_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_hesperus
117,Latrodectus katipo,Katip??,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,katipo,00117_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_katipo
118,Latrodectus mactans,Southern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,mactans,00118_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_mactans
119,Latrodectus variolus,Northern Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Latrodectus,variolus,00119_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Latrodectus_variolus
120,Parasteatoda tepidariorum,Common House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Parasteatoda,tepidariorum,00120_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Parasteatoda_tepidariorum
121,Steatoda capensis,Brown House Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,capensis,00121_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_capensis
122,Steatoda grossa,False Black Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,grossa,00122_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_grossa
123,Steatoda nobilis,Noble False Widow,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,nobilis,00123_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_nobilis
124,Steatoda triangulosa,Triangulate Comb-foot,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Theridiidae,Steatoda,triangulosa,00124_Animalia_Arthropoda_Arachnida_Araneae_Theridiidae_Steatoda_triangulosa
125,Misumena vatia,Goldenrod Crab Spider,Arachnids,Animalia,Arthropoda,Arachnida,Araneae,Thomisidae,Misumena,vatia,00125_Animalia_Arthropoda_Arachnida_Araneae_Thomisidae_Misumena_vatia
